Accession,Organism_Name,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
MK006175,Usutu virus,set:MK006175,"Carletti,F., Castilletti,C., Meschi,S., Colavita,F., Lalle,E., Bordi,L., Ippolito,G., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,334,partial,Italy,Italy,,Homo sapiens,blood,2018-09,,
MK015649,Usutu virus,set:MK015649,"Carletti,F., Castilletti,C., Meschi,S., Colavita,F., Lalle,E., Bordi,L., Ippolito,G., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,378,partial,Italy,Italy,,Homo sapiens,blood,2018-09,,
MK060108,Usutu virus,set:MK060108,"Carletti,F., Rovida,F., Percivalle,E., Paolucci,S., Campanini,G., Baldanti,F., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,370,partial,Italy,Italy,,Homo sapiens,blood,2017-08,,
MK060109,Usutu virus,set:MK060109,"Carletti,F., Rovida,F., Percivalle,E., Paolucci,S., Campanini,G., Baldanti,F., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,370,partial,Italy,Italy,,Homo sapiens,blood,2017-08,,
MK060110,Usutu virus,set:MK060110,"Carletti,F., Rovida,F., Percivalle,E., Paolucci,S., Campanini,G., Baldanti,F., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,370,partial,Italy,Italy,,Homo sapiens,blood,2017-08,,
MK060111,Usutu virus,set:MK060111,"Carletti,F., Deliberato,C., Manna,G., Castilletti,C., Autorino,G., Cardeti,G., Meschi,S., Capobianchi,M.R.","INMI L. Spallanzani, Virology Laboratory",Italy,2019-02-10,,Orthoflavivirus usutuense,512,partial,Italy: Latium region,Italy,,Culex,pooled insects,2018-09,,
KX816646,Usutu virus,set:KX816646,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,200092/2010,Orthoflavivirus usutuense,10203,partial,Italy,Italy,,Turdus merula,,2010-08,,
KX816647,Usutu virus,set:KX816647,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,208576-8/2011,Orthoflavivirus usutuense,10869,partial,Italy,Italy,,Culex pipiens,,2011-08,,
KX816648,Usutu virus,set:KX816648,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,220921-2/2011,Orthoflavivirus usutuense,10214,partial,Italy,Italy,,Culex pipiens,,2011-09,,
KX816649,Usutu virus,set:KX816649,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,231247/2011,Orthoflavivirus usutuense,10873,partial,Italy,Italy,,Turdus merula,,2011-09,,
KX816650,Usutu virus,set:KX816650,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,211984-4/2012,Orthoflavivirus usutuense,10969,partial,Italy,Italy,,Culex pipiens,,2012-08,,
KX816651,Usutu virus,set:KX816651,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,211204-8/2012,Orthoflavivirus usutuense,10387,partial,Italy,Italy,,Culex pipiens,,2012-08,,
KX816652,Usutu virus,set:KX816652,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,211204-7/2012,Orthoflavivirus usutuense,10308,partial,Italy,Italy,,Culex pipiens,,2012-08,,
KX816653,Usutu virus,set:KX816653,"Chiapponi,C., Calzolari,M., Bonilauri,P., Baioni,L., Lelli,D., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-12-31,206795-3/2012,Orthoflavivirus usutuense,10918,partial,Italy,Italy,,Culex pipiens,,2012-09,,
MK121944,Usutu virus,set:MK121944,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-G18/8,Orthoflavivirus usutuense,657,partial,"Austria: Graz, Styria",Austria,,Culex pipiens,,2018-08-22,,
MK121945,Usutu virus,set:MK121945,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-G18/16,Orthoflavivirus usutuense,387,partial,"Austria: Graz, Styria",Austria,,Aedes japonicus,,2018-08-22,,
MK121946,Usutu virus,set:MK121946,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-G18/19,Orthoflavivirus usutuense,657,partial,"Austria: Graz, Styria",Austria,,Culex pipiens,,2018-09-05,,
MK121947,Usutu virus,set:MK121947,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-G18/20,Orthoflavivirus usutuense,657,partial,"Austria: Graz, Styria",Austria,,Culex pipiens,,2018-09-05,,
MK121948,Usutu virus,set:MK121948,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-L18/2,Orthoflavivirus usutuense,657,partial,"Austria: Linz, Upper Austria",Austria,,Culex pipiens,,2018-08-10,,
MK121949,Usutu virus,set:MK121949,"Camp,J.V., Kolodziejek,J., Nowotny,N.","University of Veterinary Medicine Vienna, Institute of Virology",Austria,2018-12-25,AT-L18/3,Orthoflavivirus usutuense,657,partial,"Austria: Linz, Upper Austria",Austria,,Culex pipiens,,2018-08-10,,
MK092886,Usutu virus,set:MK092886,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD3/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092887,Usutu virus,set:MK092887,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD16/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092888,Usutu virus,set:MK092888,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD5/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092889,Usutu virus,set:MK092889,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD7/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092890,Usutu virus,set:MK092890,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD10/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092891,Usutu virus,set:MK092891,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD12/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092892,Usutu virus,set:MK092892,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD15/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092893,Usutu virus,set:MK092893,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD23/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092894,Usutu virus,set:MK092894,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD1/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092895,Usutu virus,set:MK092895,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD6/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092896,Usutu virus,set:MK092896,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD8/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092897,Usutu virus,set:MK092897,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD11/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092898,Usutu virus,set:MK092898,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD13/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092899,Usutu virus,set:MK092899,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD14/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092900,Usutu virus,set:MK092900,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD19/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MK092901,Usutu virus,set:MK092901,"Aberle,S.W., Kolodziejek,J., Jungbauer,C., Stiasny,K., Aberle,J.H., Zoufaly,A., Hourfar,M.K., Weidner,L., Nowotny,N.","University of Veterinary Medicine Vienna, Pathobiology, Institute of Virology",Austria,2018-11-12,BD22/18-AT,Orthoflavivirus usutuense,396,partial,Austria,Austria,,Homo sapiens,blood,2018,,
MG461306,Usutu virus,set:MG461306,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_269m_Israel15[USUTU],Orthoflavivirus usutuense,11042,complete,Israel,Israel,,Culex perexiguus,,2015-06-30,,
MG461307,Usutu virus,set:MG461307,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_569m_Israel15[USUTU],Orthoflavivirus usutuense,11042,complete,Israel,Israel,,Culex pipiens,,2015-09-08,,
MG461308,Usutu virus,set:MG461308,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_593m_Israel15[USUTU],Orthoflavivirus usutuense,11042,complete,Israel,Israel,,Aedes albopictus,,2015-09-21,,
MG461309,Usutu virus,set:MG461309,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_100m_Israel04[USUTU],Orthoflavivirus usutuense,11017,complete,Israel,Israel,,Culex pipiens,,2004-07-14,,
MG461310,Usutu virus,set:MG461310,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_269m_Israel04[USUTU],Orthoflavivirus usutuense,11035,complete,Israel,Israel,,Culex perexiguus,,2004-08-24,,
MG461311,Usutu virus,set:MG461311,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_341m_Israel04[USUTU],Orthoflavivirus usutuense,11021,complete,Israel,Israel,,Culex pipiens,,2004-09-23,,
MG461312,Usutu virus,set:MG461312,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_355m_Israel04[USUTU],Orthoflavivirus usutuense,11028,complete,Israel,Israel,,Culex perexiguus,,2004-09-27,,
MG461313,Usutu virus,set:MG461313,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_550m_Israel15[USUTU],Orthoflavivirus usutuense,11000,complete,Israel,Israel,,Culex perexiguus,,2015-09-08,,
MG461314,Usutu virus,set:MG461314,"Lustig,Y., Mannasse,B., Orshan,L., Schmidt-Chanasit,J., Cadar,D.","Ministry of Health, Central Virology Laboratory",Israel,2018-09-10,USUV_379m_Israel04[USUTU],Orthoflavivirus usutuense,212,partial,Israel,Israel,,Culex pipiens,,2004-10-14,,
KU573070,Usutu virus,set:KU573070,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,216606/2013,Orthoflavivirus usutuense,10647,partial,Italy,Italy,,Culex pipiens,,2013,,
KU573071,Usutu virus,set:KU573071,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,218200/2013,Orthoflavivirus usutuense,9770,partial,Italy,Italy,,Culex pipiens,,2013,,
KU573072,Usutu virus,set:KU573072,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,221034-3/2013,Orthoflavivirus usutuense,10733,partial,Italy,Italy,,Culex pipiens,,2013,,
KU573073,Usutu virus,set:KU573073,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,229615-1/2013,Orthoflavivirus usutuense,10321,partial,Italy,Italy,,Culex pipiens,,2013,,
KU573074,Usutu virus,set:KU573074,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,245735-8/2013,Orthoflavivirus usutuense,10875,partial,Italy,Italy,,Culex pipiens,,2013,,
KU573075,Usutu virus,set:KU573075,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,201602-24/2014,Orthoflavivirus usutuense,10870,partial,Italy,Italy,,Culex pipiens,,2014,,
KU573076,Usutu virus,set:KU573076,"Calzolari,M., Chiapponi,C., Bonilauri,P., Lelli,D., Baioni,L., Barbieri,I., Lavazza,A., Pongolini,S., Dottori,M., Moreno,A.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2018-09-06,201602-25/2014,Orthoflavivirus usutuense,10365,partial,Italy,Italy,,Culex pipiens,,2014,,
MH351273,Usutu virus,set:MH351273,"Scheuch,D., Schaefer,M., Heym,E.C., Walther,D., Ziegler,U., Keller,M., Eiden,M., Groschup,M.H., Kampen,H.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-08-07,DoMaV135/2014,Orthoflavivirus usutuense,975,partial,Germany,Germany,,Culex pipiens,,2014,,
MH423836,Usutu virus,set:MH423836,"Scheuch,D.E., Schaefer,M., Heym,E.C., Walther,D., Ziegler,U., Keller,M., Eiden,M., Groschup,M.H., Kampen,H.","Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases",Germany,2018-08-07,DoMaPS455/2016,Orthoflavivirus usutuense,2496,partial,Germany,Germany,,Culex pipiens,,2016,,
MF621054,Usutu virus,set:MF621054,"Eiden,M., Gil,P., Ziegler,U., Rakotoarivony,I., Marie,A., Frances,B., L'Ambert,G., Simonin,Y., Foulongne,V., Groschup,M.H., Gutierrez,S., Eloit,M., Eliot,M.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-07-04,ME/USUV_2G12/Fr_2015,Orthoflavivirus usutuense,396,partial,Camargue,France,,Culex,,2015,,
MF621055,Usutu virus,set:MF621055,"Eiden,M., Gil,P., Ziegler,U., Rakotoarivony,I., Marie,A., Frances,B., L'Ambert,G., Simonin,Y., Foulongne,V., Groschup,M.H., Gutierrez,S., Eloit,M.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-07-04,ME/USUV_2G9/Fr_2015,Orthoflavivirus usutuense,954,partial,Camargue,France,,Culex,,2015,,
MF621056,Usutu virus,set:MF621056,"Eiden,M., Gil,P., Ziegler,U., Rakotoarivony,I., Marie,A., Frances,B., L'Ambert,G., Simonin,Y., Foulongne,V., Groschup,M.H., Gutierrez,S., Eloit,M.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-07-04,ME/USUV_2D12/Fr_2015,Orthoflavivirus usutuense,714,partial,Camargue,France,,Culex,,2015,,
MF621057,Usutu virus,set:MF621057,"Eiden,M., Gil,P., Ziegler,U., Rakotoarivony,I., Marie,A., Frances,B., L'Ambert,G., Simonin,Y., Foulongne,V., Groschup,M.H., Gutierrez,S., Eloit,M.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-07-04,ME/USUV_1G10/Fr_2015,Orthoflavivirus usutuense,414,partial,Camargue,France,,Culex,,2015,,
MF621058,Usutu virus,set:MF621058,"Eiden,M., Gil,P., Ziegler,U., Rakotoarivony,I., Marie,A., Frances,B., L'Ambert,G., Simonin,Y., Foulongne,V., Groschup,M.H., Gutierrez,S., Eloit,M.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",Germany,2018-07-04,ME/USUV_38580/Fr_2015,Orthoflavivirus usutuense,948,partial,Camargue,France,,Culex,,2015,,
KY294722,Usutu virus,set:KY294722,"Ziegler,U., Keller,M., Konrath,A., Hoeper,D., Groschup,M.H.","Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases",Germany,2018-05-31,S-1232,Orthoflavivirus usutuense,10973,complete,Germany,Germany,,Turdus merula,,2016,,
KY294723,Usutu virus,set:KY294723,"Ziegler,U., Keller,M., Konrath,A., Hoeper,D., Groschup,M.H.","Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases",Germany,2018-05-31,S-1238,Orthoflavivirus usutuense,11053,complete,Germany,Germany,,Turdus merula,,2016,,
MF374485,Usutu virus,set:MF374485,"Baronti,C., Piorkowski,G., Touret,F., Priet,S.","Umr190 Emergence des Pathologies Virales"""" Epv: Aix-Marseille Univ-Ird190-Inserm1207-Ehesp-Ihu Mediterranee Infection, Faculty of Medecine",France,2018-05-14,,Orthoflavivirus usutuense,11015,partial,South Africa,South Africa,,Homo sapiens,,1959-02-06,,
MG888044,Usutu virus,set:MG888044,"Kemenesi,G., Buzas,D., Zana,B., Kurucz,K., Krtinic,B., Kepner,A., Foldes,F., Jakab,F.","University of Pecs, Szentagothai Research Centre",Hungary,2018-04-30,,Orthoflavivirus usutuense,10361,partial,Serbia,Serbia,,Culex pipiens,,2014-08,,
LT854220,Usutu virus,set:LT854220,"Vincent Foulongne,V.F., Foulongne,V.","Laboratory of Virology, Montpellier University Hospital, 80, avenue A. Fliche, 34295",France,2018-01-10,,Orthoflavivirus usutuense,268,partial,Montpellier,France,,,,2016,,
MF991886,Usutu virus,set:MF991886,"Bakonyi,T., Jungbauer,C., Aberle,S.W., Kolodziejek,J., Dimmel,K., Stiasny,K., Allerberger,F., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-11-25,BD1/17-AT,Orthoflavivirus usutuense,10792,partial,Austria,Austria,,Homo sapiens,,2017-07-24,,
MF991887,Usutu virus,set:MF991887,"Bakonyi,T., Jungbauer,C., Aberle,S.W., Kolodziejek,J., Dimmel,K., Stiasny,K., Allerberger,F., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-11-25,BD1/16-AT,Orthoflavivirus usutuense,619,partial,Austria,Austria,,Homo sapiens,,2016-09-18,,
MF991888,Usutu virus,set:MF991888,"Bakonyi,T., Jungbauer,C., Aberle,S.W., Kolodziejek,J., Dimmel,K., Stiasny,K., Allerberger,F., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-11-25,BD2/17-AT,Orthoflavivirus usutuense,687,partial,Austria,Austria,,Homo sapiens,,2017-08-05,,
MF991889,Usutu virus,set:MF991889,"Bakonyi,T., Jungbauer,C., Aberle,S.W., Kolodziejek,J., Dimmel,K., Stiasny,K., Allerberger,F., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-11-25,BD4/17-AT,Orthoflavivirus usutuense,671,partial,Austria,Austria,,Homo sapiens,,2017-08-12,,
MF991890,Usutu virus,set:MF991890,"Bakonyi,T., Jungbauer,C., Aberle,S.W., Kolodziejek,J., Dimmel,K., Stiasny,K., Allerberger,F., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-11-25,BD6/17-AT,Orthoflavivirus usutuense,690,partial,Austria,Austria,,Homo sapiens,,2017-08-19,,
MF063042,Usutu virus,set:MF063042,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,AT-N211/16,Orthoflavivirus usutuense,11062,complete,Austria: Fishamend,Austria,,Turdus merula,,2016-09-29,,
MF063043,Usutu virus,set:MF063043,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-47540/16,Orthoflavivirus usutuense,10845,partial,Hungary: Zalaegerszeg,Hungary,,Turdus merula,,2016-09-26,,
MF063044,Usutu virus,set:MF063044,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-46888/16,Orthoflavivirus usutuense,963,partial,Hungary: Nagylengyel,Hungary,,Turdus merula,,2016-09-29,,
MF063045,Usutu virus,set:MF063045,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-45905/16,Orthoflavivirus usutuense,978,partial,Hungary: Zalaegerszeg,Hungary,,Turdus merula,,2016-09-26,,
MF063046,Usutu virus,set:MF063046,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-44506/16,Orthoflavivirus usutuense,959,partial,Hungary: Gyor,Hungary,,Turdus merula,,2016-09-16,,
MF063047,Usutu virus,set:MF063047,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-36767/16,Orthoflavivirus usutuense,984,partial,Hungary: Kecskemet,Hungary,,Sturnus vulgaris,,2016-07-26,,
MF063048,Usutu virus,set:MF063048,"Bakonyi,T., Erdelyi,K., Brunthaler,R., Dan,A., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2017-10-23,HU-37539/16,Orthoflavivirus usutuense,981,partial,Hungary: Kaposvar,Hungary,,Turdus merula,,2016-07-29,,
